id;postal_code;city_code;city_name;province_code;zone_code;company_name;sunday;monday;tuesday;wednesday;thursday;friday;saturday
1;T4V4S9;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
2;T4V0A2;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
3;T4V0A3;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
4;T4V0A4;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
5;T4V0A5;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
6;T4V0A6;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
7;T4V0A7;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
8;T4V0A8;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
9;T4V0A9;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
10;T4V0B1;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
11;T4V0B2;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
12;T4V0B3;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
13;T4V0B4;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
14;T4V0B5;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
15;T4V0B6;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
16;T4V0B7;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
17;T4V0B8;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
18;T4V0B9;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
19;T4V0C1;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
20;T4V0C2;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
21;T4V0C3;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
22;T4V0C4;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
23;T4V0C5;CAMROSE;Camrose;AB;E;Total Ecom-Edmonton;;;;;;1;
